datetime,register_no,emp_no,trans_no,upc,description,trans_type,trans_subtype,trans_status,department,quantity,Scale,cost,unitPrice,total,regPrice,altPrice,tax,taxexempt,foodstamp,wicable,discount,memDiscount,discountable,discounttype,voided,percentDiscount,ItemQtty,volDiscType,volume,VolSpecial,mixMatch,matched,memType,staff,numflag,itemstatus,tenderstatus,charflag,varflag,batchHeaderID,local,organic,display,receipt,card_no,store,branch,match_id,trans_id
2013-07-01T07:26:55Z,16,54,3,0020901100000,Offsite: Miscellaneous,I,,,8,250,0,0,0.01,2.5,0.01,0,0,0,0,0,0,0,1,0,0,,250,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50048,2,0,0,13
2013-07-01T07:26:58Z,16,54,3,0,Corporate Charge,T,CX,,0,0,0,0,0,-77.64,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,50048,2,0,0,16
2013-07-01T07:26:58Z,16,54,3,0,Change,T,CA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,50048,2,0,0,17
2013-07-01T07:26:58Z,16,54,3,DISCOUNT,Discount,I,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,0,0,0,,0,,0,,,0,50048,2,0,0,18
2013-07-01T07:26:58Z,16,54,3,TAX,Tax,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,50048,2,0,0,19
2013-07-01T09:01:22Z,5,64,2,0009396651225,Organic 2% Milk 64oz OV,I,,,4,1,0,3.22,3.99,3.99,3.99,0,0,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,,,1,0,0,,0,,0,1,,0,11396,1,0,0,1
2013-07-01T09:01:25Z,5,64,2,0000000000017,Lettuce Romaine Red/Green Org,I,,,2,1,0,0,2.49,2.49,2.49,0,0,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,,,1,0,0,,0,,0,1,,0,11396,1,0,0,2
2013-07-01T09:01:31Z,5,64,2,0000000000051,BANANA Organic,I,,,2,4.77,1,0,1.19,5.68,1.19,0,0,0,1,0,0,0,1,0,0,10,4.77,0,0,0,0,0,,,4,0,0,,0,,0,1,,0,11396,1,0,0,3
2013-07-01T09:01:39Z,5,64,2,0000000000130,AVOCADO Hass Big Organic,I,,,2,1,0,0,1.89,1.89,1.89,0,0,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,,,0,0,0,,0,,0,1,,0,11396,1,0,0,4
2013-07-01T09:01:46Z,5,64,2,0000000000731,TOMATOES Slicer Perf.Circle O.,I,,,2,0.37,1,0,4.59,1.7,4.59,0,0,0,1,0,0,0,1,0,0,10,0.37,0,0,0,0,0,,,5,0,0,,0,,0,1,,0,11396,1,0,0,5
2013-07-01T09:01:49Z,5,64,2,0000000000036,CUCUMBER Organic,I,,,2,0.72,1,0,1.69,1.22,1.69,0,0,0,1,0,0,0,1,0,0,10,0.72,0,0,0,0,0,,,4,0,0,,0,,0,1,,0,11396,1,0,0,6
2013-07-01T09:01:52Z,5,64,2,0000000000574,Pepper Bell Red Organic,I,,,2,0.41,1,0,5.69,2.33,5.69,0,0,0,1,0,0,0,1,0,0,10,0.41,0,0,0,0,0,,,0,0,0,,0,,0,1,,0,11396,1,0,0,7
2013-07-01T09:01:54Z,5,64,2,0000000000139,Mango Organic,I,,,2,1,0,0,0.99,0.99,1.99,0,0,0,1,0,1,0,1,1,0,10,1,0,0,0,0,0,,,0,0,0,,0,,0,1,,0,11396,1,0,0,8
2013-07-01T09:02:18Z,5,64,2,0000000001014,Green Patch Redemption,I,,,1,1,0,0,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,,,4,0,0,,0,,0,-1,,0,11396,1,0,0,17
2013-07-01T09:02:25Z,5,64,2,0000000001029,Water Gallon Bulk,I,,,1,1,0,0,0.39,0.39,0.39,0,0,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,,,5,0,0,,0,,0,0,,0,11396,1,0,0,22
2013-07-01T09:02:34Z,4,17,1,0067076412370,O.Blue Tortilla Chips 14oz WGM,I,,,1,1,0,2.66,3.49,3.49,3.49,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,,1,0,0,,0,,0,1,,0,3,1,0,0,1
2013-07-01T09:02:36Z,16,54,4,0000000040417,Coffee Hot Organic 8oz,I,,,14,1,0,0.2506,0.99,0.99,0.99,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,261,0,0,,0,,0,1,,0,22344,1,0,0,1
2013-07-01T09:02:38Z,4,17,1,0060961353859,Kickin Hot Salsa 16oz Pete,I,,,1,1,0,2.79,3.99,3.99,3.99,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,3,1,0,0,2
2013-07-01T09:02:39Z,4,17,1,0007572000061,Nat.Spring Water 1L PS,I,,,1,1,0,0.576,0.99,0.99,0.99,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,,0,0,0,,0,,0,0,,0,3,1,0,0,3
2013-07-01T09:02:40Z,5,64,2,0,Credit Card,T,CC,,0,0,0,0,0,-18.51,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,M,0,,0,,,0,11396,1,0,0,27
2013-07-01T09:02:42Z,16,54,4,0000000040695,Customer Cup Discount,I,,,14,1,0,0,-0.15,-0.15,-0.15,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,5,0,0,,0,,0,0,,0,22344,1,0,0,2
2013-07-01T09:02:46Z,4,17,1,0067076412363,O.Yel.Tortilla Chips 16oz WGM,I,,,1,2,0,2.66,3.79,7.58,3.79,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,,,1,0,0,,0,,0,1,,0,3,1,0,0,4
2013-07-01T09:02:47Z,4,17,1,0067076412363,O.Yel.Tortilla Chips 16oz WGM,I,,,1,1,0,2.66,3.79,3.79,3.79,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,,1,0,0,,0,,0,1,,0,3,1,0,0,5
2013-07-01T09:02:50Z,4,17,1,0067076412363,O.Yel.Tortilla Chips 16oz WGM,I,,V,1,-1,0,2.66,3.79,-3.79,3.79,0,0,0,1,0,0,0,1,0,1,0,-1,0,0,0,0,0,,,1,0,0,,0,,0,1,,0,3,1,0,0,6
2013-07-01T09:02:53Z,5,64,2,0,Change,T,CA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,11396,1,0,0,28
2013-07-01T09:02:54Z,5,64,2,DISCOUNT,Discount,I,,,0,1,0,0,-2.07,-2.07,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,0,0,0,,0,,0,,,0,11396,1,0,0,29
2013-07-01T09:02:54Z,5,64,2,TAX,Tax,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,11396,1,0,0,30
2013-07-01T09:03:04Z,4,17,1,0065762241751,O.Pomegranate Red Tea 16oz HoT,I,,,1,1,0,0.918,1.69,1.69,1.69,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,,0,0,0,,0,,0,1,,0,3,1,0,0,7
2013-07-01T09:03:08Z,16,54,4,0,Credit Card,T,CC,,0,0,0,0,0,-0.91,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,M,0,,0,,,0,22344,1,0,0,6
2013-07-01T09:03:13Z,16,54,4,0,Change,T,CA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,22344,1,0,0,7
2013-07-01T09:03:13Z,16,54,4,DISCOUNT,Discount,I,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,0,0,0,,0,,0,,,0,22344,1,0,0,8
2013-07-01T09:03:13Z,16,54,4,TAX,Tax,A,,,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,22344,1,0,0,9
2013-07-01T09:03:17Z,4,17,1,0089586500176,Wedge Reusable Bag,I,,,1,1,0,0,0.9,0.9,0.9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,,0,,0,0,,0,3,1,0,0,8
2013-07-01T09:03:53Z,4,17,1,0,EBT FS,T,EF,,0,0,0,0,0,-17.74,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,M,0,,0,,,0,3,1,0,0,12
2013-07-01T09:04:01Z,4,17,1,0,Cash,T,CA,,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,3,1,0,0,16
2013-07-01T09:04:01Z,4,17,1,0,Change,T,CA,,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,3,1,0,0,17
2013-07-01T09:04:01Z,4,17,1,DISCOUNT,Discount,I,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,0,0,0,,0,,0,,,0,3,1,0,0,18
2013-07-01T09:04:01Z,4,17,1,TAX,Tax,A,,,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,3,1,0,0,19
2013-07-01T09:04:27Z,16,54,12,0000000040400,Coffee Hot Organic 12oz,I,,,14,1,0,0.376,1.49,1.49,1.49,0,1,0,0,0,0,0,1,44,0,0,1,0,0,0,0,0,,,261,0,0,,0,,0,1,,0,24069,1,0,0,1
2013-07-01T09:04:29Z,16,54,12,0000000040695,Customer Cup Discount,I,,,14,1,0,0,-0.15,-0.15,-0.15,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,5,0,0,,0,,0,0,,0,24069,1,0,0,2
2013-07-01T09:04:30Z,16,54,12,0000000040400,Coffee Hot Organic 12oz,I,,,14,1,0,0.376,1.49,1.49,1.49,0,1,0,0,0,0,0,1,44,0,0,1,0,0,0,0,0,,,261,0,0,,0,,0,1,,0,24069,1,0,0,3
2013-07-01T09:04:43Z,5,64,3,0020606800000,Frozen Grass-Fed Femur Bones,I,,,13,1.340681,0,1.5,4.99,6.69,4.99,0,0,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,11763,1,0,0,1
2013-07-01T09:04:48Z,16,54,12,0,Credit Card,T,CC,,0,0,0,0,0,-3.05,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,M,0,,0,,,0,24069,1,0,0,7
2013-07-01T09:05:14Z,5,64,3,0,Cash,T,CA,,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,11763,1,0,0,9
2013-07-01T09:05:14Z,5,64,3,0,Change,T,CA,,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,11763,1,0,0,10
2013-07-01T09:05:14Z,5,64,3,DISCOUNT,Discount,I,,,0,1,0,0,-0.67,-0.67,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,0,0,0,,0,,0,,,0,11763,1,0,0,11
