year	month	dept_no	departmentName	numOwners	ownerSales	totalQty	transactions	Items
2013	09	17	BAKEHOUSE	932.0	7739.369999999997	2924.0	1874.0	2542.0
2013	09	18	FLOWERS	136.0	1407.2100000000003	60602.0	165.0	207.0
2013	01	1	PACKAGED GROCERY	2183.0	104283.30999999997	34860.21	7163.0	31521.0
2013	01	2	PRODUCE	2029.0	102800.37999999993	117793.56516199998	6740.0	34975.0
2013	01	3	BULK	1604.0	41979.41999999999	12405.628158999996	3826.0	8353.0
2013	01	4	REF GROCERY	1939.0	50022.94000000008	19823.0	5660.0	15959.0
2013	01	5	CHEESE	1068.0	14248.67	1856.426105	2321.0	4276.0
2013	01	6	FROZEN	1153.0	21865.780000000013	5618.0	2436.0	5366.0
2013	01	7	BREAD	626.0	4861.549999999999	1609.0	1076.0	1457.0
2013	01	8	DELI	1396.0	30959.59999999999	20963.454290999984	3682.0	7547.0
2013	01	9	GEN MERCH	686.0	7146.050000000001	108957.93513299999	997.0	1283.0
2013	01	10	SUPPLEMENTS	751.0	31628.790000000008	13264.0	1229.0	2034.0
2013	01	11	PERSONAL CARE	896.0	18757.11000000001	10246.659999999996	1444.0	2452.0
2013	01	12	HERBS&SPICES	658.0	4684.099999999999	5110.853000000002	1024.0	1808.0
2013	01	13	MEAT	1200.0	38056.32000000001	7440.732729000003	2909.0	5865.0
2013	01	14	JUICE BAR	393.0	4649.330000000003	1268.0	819.0	1097.0
2013	01	16	FISH&SEAFOOD	449.0	6962.620000000001	589.3037710000001	710.0	819.0
2013	01	17	BAKEHOUSE	923.0	8230.41	3270.0	1871.0	2532.0
2013	01	18	FLOWERS	94.0	1295.6500000000005	126373.0	115.0	128.0
2013	07	1	PACKAGED GROCERY	2179.0	95434.18000000007	31418.0	7465.0	28782.0
2013	07	2	PRODUCE	2061.0	106489.61999999998	252534.69729500008	7049.0	34637.0
2013	07	3	BULK	1549.0	39019.689999999995	15084.429182	3587.0	7409.0
2013	07	4	REF GROCERY	1879.0	48184.100000000086	15960.0	5589.0	14880.0
2013	07	5	CHEESE	1131.0	14993.200000000003	1925.0601999999994	2453.0	4485.0
2013	07	6	FROZEN	1130.0	19442.52000000001	4656.0	2248.0	4530.0
2013	07	7	BREAD	696.0	5410.770000000003	1853.0	1213.0	1720.0
2013	07	8	DELI	1458.0	40078.73000000001	640079.9054739999	4076.0	8126.0
2013	07	9	GEN MERCH	622.0	6849.929999999999	97456.49203299999	869.0	1177.0
2013	07	10	SUPPLEMENTS	613.0	25065.84	10282.0	984.0	1555.0
2013	07	11	PERSONAL CARE	906.0	19037.460000000006	11736.119999999997	1389.0	2416.0
2013	07	12	HERBS&SPICES	515.0	2512.4700000000003	2011.9749999999997	745.0	1238.0
2013	07	13	MEAT	1238.0	38669.44000000002	6613.342712000001	2854.0	5725.0
2013	07	14	JUICE BAR	480.0	6543.590000000001	1826.0	1091.0	1527.0
2013	07	16	FISH&SEAFOOD	507.0	8788.66	683.0529280000001	779.0	938.0
2013	07	17	BAKEHOUSE	982.0	7651.499999999999	2977.0	1889.0	2556.0
2013	07	18	FLOWERS	124.0	1040.1100000000004	50459.0	144.0	179.0
2013	02	1	PACKAGED GROCERY	2075.0	96987.52000000003	31383.74	6534.0	28447.0
2013	02	2	PRODUCE	1980.0	95663.22	131699.496646	6217.0	32307.0
2013	02	3	BULK	1524.0	38268.9	9004.925072	3426.0	7449.0
2013	02	4	REF GROCERY	1827.0	45730.150000000074	15648.0	5034.0	14388.0
2013	02	5	CHEESE	1038.0	13125.710000000001	1725.5578929999997	2115.0	3808.0
2013	02	6	FROZEN	1129.0	19688.24000000001	4889.88	2142.0	4726.0
2013	02	7	BREAD	601.0	4498.849999999999	1489.0	968.0	1350.0
2013	02	8	DELI	1372.0	30071.31	37614.689387	3464.0	7077.0
2013	02	9	GEN MERCH	621.0	6612.329999999999	88919.140309	873.0	1183.0
2013	02	10	SUPPLEMENTS	698.0	26726.440000000006	12462.0	1031.0	1740.0
2013	02	11	PERSONAL CARE	919.0	18956.480000000003	9327.795000000002	1404.0	2625.0
2013	02	12	HERBS&SPICES	606.0	3726.6099999999988	1191.7279999999994	874.0	1478.0
2013	02	13	MEAT	1116.0	34312.869999999995	6548.893015000001	2511.0	5173.0
2013	02	14	JUICE BAR	365.0	4282.969999999999	1183.0	765.0	1009.0
2013	02	16	FISH&SEAFOOD	437.0	6719.599999999999	560.1908050000001	648.0	807.0
2013	02	17	BAKEHOUSE	880.0	7355.010000000002	2870.0	1654.0	2178.0
2013	02	18	FLOWERS	139.0	1669.8800000000008	156105.0	154.0	175.0
2013	10	1	PACKAGED GROCERY	2249.0	111004.17999999983	35756.49999999999	7582.0	33192.0
2013	10	2	PRODUCE	2104.0	96483.76000000001	142665.401953	6804.0	30728.0
2013	10	3	BULK	1647.0	44052.41	15033.836330999997	3884.0	8484.0
2013	10	4	REF GROCERY	1988.0	51071.5900000001	16605.0	5840.0	15505.0
2013	10	5	CHEESE	1188.0	14631.760000000002	1916.3582839999997	2484.0	4277.0
2013	10	6	FROZEN	1263.0	22770.730000000007	5868.85	2552.0	5674.0
2013	10	7	BREAD	641.0	4931.97	1676.0	1091.0	1518.0
2013	10	8	DELI	1411.0	32678.73000000001	22074.575078000005	3974.0	7533.0
2013	10	9	GEN MERCH	685.0	7782.920000000003	124839.438516	969.0	1323.0
2013	10	10	SUPPLEMENTS	773.0	32602.360000000008	35059.0	1211.0	1961.0
2013	10	11	PERSONAL CARE	962.0	20725.730000000003	9902.020000000002	1510.0	2732.0
2013	10	12	HERBS&SPICES	667.0	3500.5	355.27549999999997	974.0	1719.0
2013	10	13	MEAT	1270.0	41588.1	7493.475762	3056.0	6244.0
2013	10	14	JUICE BAR	437.0	5317.149999999998	1386.0	966.0	1307.0
2013	10	16	FISH&SEAFOOD	436.0	6733.55	541.099379	662.0	810.0
2013	10	17	BAKEHOUSE	982.0	7641.34	2832.0	1944.0	2509.0
2013	10	18	FLOWERS	96.0	1095.6100000000004	85169.71988799999	108.0	135.0
2015	06	1	PACKAGED GROCERY	2192.0	95081.0100000001	35132.0	7989.0	30736.0
2015	06	2	PRODUCE	2009.0	106650.11999999998	117259.87461999997	6821.0	32990.0
2015	06	3	BULK	1478.0	37283.11	9103.963504000001	3335.0	6777.0
2015	06	4	REF GROCERY	1909.0	50404.06000000005	15248.0	5644.0	14035.0
2015	06	5	CHEESE	1095.0	14736.649999999998	1780.6099580000005	2346.0	4149.0
2015	06	6	FROZEN	1086.0	19865.780000000002	4383.0	2164.0	4247.0
2015	06	7	BREAD	647.0	5151.299999999999	1629.0	1122.0	1470.0
2015	06	8	DELI	1700.0	37370.360000000015	17835.447352000003	5172.0	9339.0
2015	06	9	GEN MERCH	667.0	6807.900000000002	74815.626565	950.0	1297.0
2015	06	10	SUPPLEMENTS	603.0	23021.68	35282.0	890.0	1391.0
2015	06	11	PERSONAL CARE	911.0	20984.43000000001	13680.749181999998	1533.0	2749.0
2015	06	12	HERBS&SPICES	509.0	3657.9700000000007	275.12000000000006	731.0	1253.0
2015	06	13	MEAT	1197.0	41805.52999999999	6649.065194999999	2824.0	5831.0
2015	06	14	JUICE BAR	602.0	7861.4500000000035	2067.0	1326.0	1992.0
2015	06	16	FISH&SEAFOOD	475.0	8973.779999999999	649.13947	761.0	914.0
2015	06	18	FLOWERS	222.0	2447.04	89947.0	274.0	444.0
2015	06	22	BEER & WINE	21.0	186.0	39.0	33.0	38.0
2015	05	1	PACKAGED GROCERY	2246.0	104751.91000000008	37705.0	8512.0	33274.0
2015	05	2	PRODUCE	2070.0	116442.91999999988	120049.20370699998	7268.0	37350.0
2015	05	3	BULK	1525.0	42112.05999999999	14586.413946000004	3669.0	7675.0
2015	05	4	REF GROCERY	1962.0	55433.17000000007	16909.0	6108.0	15477.0
2015	05	5	CHEESE	1134.0	16138.529999999999	1937.6148219999995	2546.0	4469.0
2015	05	6	FROZEN	1147.0	22554.71	5247.0	2461.0	5099.0
2015	05	7	BREAD	695.0	5998.950000000001	1814.0	1262.0	1645.0
2015	05	8	DELI	1798.0	41793.03000000004	34988.288825	5666.0	10349.0
2015	05	9	GEN MERCH	637.0	6818.860000000001	37825.118868000005	957.0	1304.0
2015	05	10	SUPPLEMENTS	642.0	25059.10000000001	18361.0	976.0	1561.0
2015	05	11	PERSONAL CARE	968.0	20900.810000000005	12337.655000000002	1541.0	2745.0
2015	05	12	HERBS&SPICES	592.0	3759.7699999999995	2687.411000000001	872.0	1417.0
2015	05	13	MEAT	1251.0	47494.05	7736.472925	3139.0	6471.0
2015	05	14	JUICE BAR	629.0	9130.770000000002	2435.0	1531.0	2304.0
2015	05	16	FISH&SEAFOOD	470.0	8707.330000000002	661.1235029999997	759.0	914.0
2015	05	18	FLOWERS	334.0	7768.39	179646.0	458.0	1020.0
2015	05	22	BEER & WINE	29.0	227.0	55.0	46.0	55.0
2015	12	1	PACKAGED GROCERY	2259.0	104738.54000000001	35544.0	7754.0	31988.0
2015	12	2	PRODUCE	2058.0	95730.96999999997	179332.848465	6506.0	29741.0
2015	12	3	BULK	1531.0	39591.35999999998	22299.45284999999	3423.0	7238.0
2015	12	4	REF GROCERY	1936.0	53400.740000000056	15574.0	5514.0	14435.0
2015	12	5	CHEESE	1130.0	15214.350000000002	1783.6507580000002	2312.0	4338.0
2015	12	6	FROZEN	1037.0	18599.490000000013	4278.1900000000005	1964.0	4115.0
2015	12	7	BREAD	632.0	4881.57	1487.0	1021.0	1370.0
2015	12	8	DELI	1730.0	38997.690000000024	33380.216949999995	4960.0	9320.0
2015	12	9	GEN MERCH	761.0	13850.26	280615.10020600003	1214.0	1899.0
2015	12	10	SUPPLEMENTS	698.0	26606.75	12555.0	1028.0	1750.0
2015	12	11	PERSONAL CARE	964.0	22843.490000000013	8865.729899999998	1591.0	3123.0
2015	12	12	HERBS&SPICES	715.0	5399.000000000002	6361.686	1102.0	2072.0
2015	12	13	MEAT	1222.0	43828.94000000001	7072.855244000001	2717.0	5378.0
2015	12	14	JUICE BAR	489.0	6175.590000000001	1883.0	1101.0	1807.0
2015	12	16	FISH&SEAFOOD	483.0	8953.509999999998	671.2647489999999	757.0	987.0
2015	12	18	FLOWERS	120.0	1641.8800000000008	143292.0	141.0	161.0
2015	12	22	BEER & WINE	13.0	95.0	18.0	16.0	18.0
2015	03	1	PACKAGED GROCERY	2222.0	103099.10000000012	36583.0	8260.0	32535.0
2015	03	2	PRODUCE	2064.0	103177.66999999991	122459.330278	7212.0	35890.0
2015	03	3	BULK	1507.0	40845.85000000001	15040.834702000002	3621.0	7512.0
2015	03	4	REF GROCERY	1918.0	53343.560000000056	16386.0	5888.0	14964.0
2015	03	5	CHEESE	1131.0	15195.86	1856.0319400000003	2451.0	4302.0
2015	03	6	FROZEN	1138.0	21097.12	5205.0	2381.0	5033.0
2015	03	7	BREAD	666.0	5298.790000000002	1679.0	1183.0	1503.0
2015	03	8	DELI	1794.0	40177.04000000001	14042.720728	5485.0	9869.0
2015	03	9	GEN MERCH	639.0	7187.800000000002	79585.16228899999	954.0	1328.0
2015	03	10	SUPPLEMENTS	679.0	25597.280000000006	15742.0	1062.0	1678.0
2015	03	11	PERSONAL CARE	942.0	19920.030000000006	27204.845	1489.0	2608.0
2015	03	12	HERBS&SPICES	626.0	3898.2600000000007	3901.0005	937.0	1616.0
2015	03	13	MEAT	1240.0	43283.540000000015	7109.437862999998	3031.0	6052.0
2015	03	14	JUICE BAR	616.0	7850.010000000001	2034.0	1340.0	1935.0
2015	03	16	FISH&SEAFOOD	469.0	8729.95	662.887662	783.0	955.0
2015	03	18	FLOWERS	212.0	2673.4700000000003	155388.0	268.0	474.0
2015	03	22	BEER & WINE	24.0	250.0	53.0	47.0	52.0
2015	04	1	PACKAGED GROCERY	2303.0	101034.53000000017	36409.0	8365.0	32119.0
2015	04	2	PRODUCE	2104.0	107647.58999999991	133251.810881	7192.0	35983.0
2015	04	3	BULK	1542.0	40997.63	8433.036823999997	3649.0	7403.0
2015	04	4	REF GROCERY	1974.0	55656.07000000007	17106.0	6099.0	15784.0
2015	04	5	CHEESE	1173.0	16382.01	1960.5731950000002	2524.0	4456.0
2015	04	6	FROZEN	1116.0	20743.120000000006	4713.0	2295.0	4628.0
2015	04	7	BREAD	689.0	5759.889999999999	1703.0	1211.0	1549.0
2015	04	8	DELI	1792.0	40631.16000000005	18927.264817	5572.0	10110.0
2015	04	9	GEN MERCH	661.0	7216.690000000001	95473.48396899998	987.0	1379.0
2015	04	10	SUPPLEMENTS	660.0	24615.66	32457.0	1021.0	1549.0
2015	04	11	PERSONAL CARE	892.0	17792.650000000005	7675.019999999999	1376.0	2293.0
2015	04	12	HERBS&SPICES	582.0	3304.3199999999993	183.0065	829.0	1357.0
2015	04	13	MEAT	1283.0	45750.94	7443.421697000001	3054.0	6304.0
2015	04	14	JUICE BAR	585.0	8063.200000000003	2195.0	1406.0	2110.0
2015	04	16	FISH&SEAFOOD	492.0	9265.1	686.1305199999997	822.0	1018.0
2015	04	18	FLOWERS	284.0	3490.759999999999	209075.0	345.0	629.0
2015	04	22	BEER & WINE	26.0	250.0	51.0	44.0	50.0
2015	08	1	PACKAGED GROCERY	2168.0	95012.54000000008	35107.0	8046.0	30965.0
2015	08	2	PRODUCE	1976.0	96076.33999999998	92298.330553	6805.0	30849.0
2015	08	3	BULK	1414.0	36724.799999999996	10349.424363999993	3262.0	6650.0
2015	08	4	REF GROCERY	1862.0	50250.89000000002	15366.0	5689.0	14095.0
2015	08	5	CHEESE	1098.0	15701.610000000002	1824.1501770000007	2401.0	4380.0
2015	08	6	FROZEN	1012.0	18725.67	4099.0	2044.0	3965.0
2015	08	7	BREAD	676.0	5330.25	1653.0	1125.0	1491.0
2015	08	8	DELI	1721.0	39085.680000000015	15081.605821	5252.0	9693.0
2015	08	9	GEN MERCH	652.0	7258.520000000001	81024.063642	954.0	1346.0
2015	08	10	SUPPLEMENTS	635.0	22901.030000000006	26112.0	934.0	1481.0
2015	08	11	PERSONAL CARE	914.0	17179.190000000006	15280.69	1396.0	2381.0
2015	08	12	HERBS&SPICES	563.0	3633.7999999999997	262.51050000000004	815.0	1336.0
2015	08	13	MEAT	1181.0	41161.76000000002	6925.753930000002	2775.0	5625.0
2015	08	14	JUICE BAR	576.0	7361.670000000001	2013.0	1288.0	1947.0
2015	08	16	FISH&SEAFOOD	416.0	7656.9800000000005	558.3457569999999	695.0	831.0
2015	08	18	FLOWERS	118.0	1490.9900000000005	121779.0	143.0	184.0
2015	08	22	BEER & WINE	13.0	174.0	43.0	31.0	42.0
2015	11	1	PACKAGED GROCERY	2217.0	99429.83000000007	34498.0	7745.0	31088.0
2015	11	2	PRODUCE	1978.0	99389.32999999993	177496.22933200005	6407.0	30210.0
2015	11	3	BULK	1474.0	38774.97	15625.919151	3456.0	7427.0
2015	11	4	REF GROCERY	1915.0	53804.37000000005	15961.0	5596.0	14488.0
2015	11	5	CHEESE	1115.0	14520.239999999998	1762.1526260000007	2311.0	4155.0
2015	11	6	FROZEN	1075.0	19613.39000000001	4599.0	2084.0	4509.0
2015	11	7	BREAD	650.0	5245.700000000001	1545.0	1084.0	1390.0
2015	11	8	DELI	1732.0	40171.69000000002	27474.741937000003	5143.0	9739.0
2015	11	9	GEN MERCH	697.0	8904.99	183132.19573799998	1070.0	1460.0
2015	11	10	SUPPLEMENTS	632.0	24747.879999999997	16274.0	974.0	1567.0
2015	11	11	PERSONAL CARE	926.0	21552.270000000004	30684.748108	1482.0	2863.0
2015	11	12	HERBS&SPICES	705.0	4836.089999999999	986.9512999999998	1070.0	1977.0
2015	11	13	MEAT	1216.0	44386.42999999999	9183.436679999997	2763.0	5427.0
2015	11	14	JUICE BAR	533.0	5967.710000000002	1733.0	1093.0	1680.0
2015	11	16	FISH&SEAFOOD	436.0	7655.769999999999	588.06567	710.0	913.0
2015	11	18	FLOWERS	148.0	2251.150000000001	187277.0	176.0	202.0
2015	11	22	BEER & WINE	16.0	152.0	39.0	29.0	39.0
2015	09	1	PACKAGED GROCERY	2189.0	97661.99000000012	34804.0	7860.0	31209.0
2015	09	2	PRODUCE	1991.0	94891.36000000006	107281.61443500004	6486.0	29146.0
2015	09	3	BULK	1429.0	36799.66	11485.846544999999	3254.0	6843.0
